Source,Target
BDSU072,BDSU020
BDSU072,BDSU020
BDSU073,BDSU030
BDSU073,BDSU030
BDSU073,BDSU033
BDSU073,BDSU033
BDSU073,BDSU033
BDSU073,BDSU045
BDSU074,BDSU075
BDSU074,BDSU075
BDSU075,BDSU014
BDSU075,BDSU074
BDSU075,BDSU074
BDSU075,BDSU074
BDSU076,BDSU057
BDSU076,BDSU061
BDSU077,BDSU063
BDSU077,BDSU065
BDSU077,BDSU065
BDSU077,BDSU066
BDSU077,BDSU066
BDSU077,BDSU068
BDSU077,BDSU068
BDSU078,BDSU046
BDSU078,BDSU060
BDSU079,BDSU054
BDSU079,BDSU062
BDSU079,BDSU067
BDSU079,BDSU067
BDSU079,BDSU071
