Source,Target
BDSU059,BDSU054
BDSU059,BDSU065
BDSU059,BDSU065
BDSU059,BDSU076
BDSU060,BDSU042
BDSU060,BDSU055
BDSU060,BDSU057
BDSU060,BDSU064
BDSU060,BDSU070
BDSU061,BDSU001
BDSU061,BDSU025
BDSU061,BDSU054
BDSU061,BDSU057
BDSU061,BDSU062
BDSU061,BDSU076
BDSU062,BDSU022
BDSU062,BDSU032
BDSU062,BDSU060
BDSU062,BDSU064
BDSU062,BDSU064
BDSU062,BDSU067
BDSU062,BDSU071
BDSU062,BDSU076
BDSU062,BDSU079
BDSU063,BDSU004
BDSU063,BDSU065
BDSU063,BDSU065
BDSU063,BDSU066
BDSU063,BDSU066
BDSU063,BDSU068
BDSU063,BDSU077
BDSU064,BDSU001
BDSU064,BDSU060
BDSU064,BDSU062
BDSU065,BDSU024
BDSU065,BDSU059
BDSU065,BDSU059
BDSU065,BDSU066
BDSU065,BDSU066
BDSU065,BDSU068
BDSU065,BDSU077
BDSU066,BDSU004
BDSU066,BDSU063
BDSU066,BDSU065
BDSU066,BDSU065
BDSU066,BDSU068
BDSU066,BDSU077
BDSU067,BDSU054
BDSU067,BDSU061
BDSU067,BDSU071
BDSU067,BDSU076
BDSU067,BDSU079
BDSU068,BDSU065
BDSU068,BDSU067
BDSU068,BDSU069
BDSU068,BDSU077
BDSU069,BDSU027
BDSU069,BDSU060
BDSU069,BDSU066
BDSU069,BDSU067
BDSU069,BDSU068
BDSU069,BDSU070
BDSU069,BDSU070
BDSU069,BDSU072
BDSU070,BDSU057
BDSU070,BDSU060
BDSU070,BDSU067
BDSU070,BDSU068
BDSU070,BDSU069
BDSU070,BDSU069
BDSU070,BDSU069
BDSU070,BDSU069
BDSU070,BDSU069
BDSU071,BDSU001
BDSU071,BDSU054
BDSU071,BDSU060
BDSU071,BDSU072
BDSU072,BDSU011
BDSU072,BDSU020
BDSU072,BDSU020
BDSU072,BDSU068
BDSU072,BDSU069
BDSU072,BDSU070
BDSU072,BDSU073
BDSU073,BDSU028
BDSU073,BDSU030
BDSU073,BDSU033
BDSU073,BDSU033
BDSU073,BDSU062
