ui,uj,distance
BDSU003,BDSU022,146.6522475
BDSU003,BDSU023,134.3092214
BDSU003,BDSU024,110.6418101
BDSU003,BDSU025,130.0962628
BDSU003,BDSU026,122.5724867
BDSU003,BDSU027,127.2058362
BDSU003,BDSU028,136.6666248
BDSU003,BDSU029,125.5229735
BDSU003,BDSU030,157.3522453
BDSU003,BDSU031,116.6718464
BDSU003,BDSU032,213.8713227
BDSU003,BDSU033,179.5504146
BDSU003,BDSU034,114.9751199
BDSU003,BDSU035,232.4104701
BDSU003,BDSU036,13.66218926
BDSU003,BDSU037,59.31568488
BDSU003,BDSU038,135.9773781
BDSU003,BDSU039,27.40175919
BDSU003,BDSU040,139.0012585
BDSU003,BDSU041,149.4166858
BDSU003,BDSU042,145.2908449
BDSU003,BDSU043,117.3919241
BDSU003,BDSU044,139.1267707
BDSU003,BDSU045,134.5429544
BDSU003,BDSU046,83.50856734
BDSU003,BDSU047,87.72811746
BDSU003,BDSU048,138.0688257
BDSU003,BDSU049,131.5090929
BDSU003,BDSU050,61.4518212
BDSU003,BDSU051,28.39693124
BDSU003,BDSU052,125.6026994
BDSU003,BDSU053,108.3442092
BDSU003,BDSU054,160.7568226
BDSU003,BDSU055,131.8144818
BDSU003,BDSU056,141.2768839
BDSU003,BDSU057,139.7638495
BDSU003,BDSU058,133.5849393
BDSU003,BDSU059,110.4921487
BDSU003,BDSU060,158.4950764
BDSU003,BDSU061,161.7759817
BDSU003,BDSU062,165.0557282
BDSU003,BDSU063,183.5467575
BDSU003,BDSU064,162.5134138
BDSU003,BDSU065,191.3476452
BDSU003,BDSU066,179.9940555
BDSU003,BDSU067,171.309597
BDSU003,BDSU068,183.5467575
BDSU003,BDSU069,181.8046352
BDSU003,BDSU070,188.9773368
BDSU003,BDSU071,160.5970938
BDSU003,BDSU072,198.7919301
BDSU003,BDSU073,162.2265117
BDSU003,BDSU074,278.5228723
BDSU003,BDSU075,278.1515701
BDSU003,BDSU076,150.8823646
BDSU003,BDSU077,198.7028398
BDSU003,BDSU078,152.4909639
BDSU003,BDSU079,164.3602439
BDSU004,BDSU001,128.3721095
BDSU004,BDSU002,139.1973632
BDSU004,BDSU003,9.886997787
BDSU004,BDSU004,0
BDSU004,BDSU005,48.97880862
BDSU004,BDSU006,110.45364
BDSU004,BDSU007,60.50844219
BDSU004,BDSU008,39.09786925
BDSU004,BDSU009,40.07884219
BDSU004,BDSU010,121.0696273
BDSU004,BDSU011,54.13417914
BDSU004,BDSU012,106.3059309
BDSU004,BDSU013,89.01970828
BDSU004,BDSU014,5.388660267
BDSU004,BDSU015,5.903120415
BDSU004,BDSU016,6.884606054
BDSU004,BDSU017,61.05968046
BDSU004,BDSU018,3.014923984
BDSU004,BDSU019,
BDSU004,BDSU020,130.9102334
BDSU004,BDSU021,120.2461109
BDSU004,BDSU022,148.1590716
BDSU004,BDSU023,134.0375075
BDSU004,BDSU024,109.7467753
BDSU004,BDSU025,129.0554444
BDSU004,BDSU026,115.0703951
BDSU004,BDSU027,120.6988917
BDSU004,BDSU028,131.5762441
BDSU004,BDSU029,118.3589972
BDSU004,BDSU030,152.2982906
BDSU004,BDSU031,110.5015082
BDSU004,BDSU032,208.7379917
BDSU004,BDSU033,174.2496241
BDSU004,BDSU034,109.8447664
BDSU004,BDSU035,227.2744233
BDSU004,BDSU036,5.113498188
BDSU004,BDSU037,56.72491399
BDSU004,BDSU038,140.9652086
BDSU004,BDSU039,30.99915817
BDSU004,BDSU040,144.0150892
BDSU004,BDSU041,156.0173321
BDSU004,BDSU042,151.3959903
BDSU004,BDSU043,121.6887689
BDSU004,BDSU044,145.2908775
BDSU004,BDSU045,136.4911103
BDSU004,BDSU046,86.69743361
BDSU004,BDSU047,90.68145452
BDSU004,BDSU048,144.3536379
BDSU004,BDSU049,132.9611452
BDSU004,BDSU050,56.32528064
BDSU004,BDSU051,27.06208094
BDSU004,BDSU052,124.2801369
BDSU004,BDSU053,103.6417095
BDSU004,BDSU054,151.8224772
BDSU004,BDSU055,123.4913771
BDSU004,BDSU056,133.5768478
BDSU004,BDSU057,130.9331648
BDSU004,BDSU058,125.5899043
BDSU004,BDSU059,108.6162035
BDSU004,BDSU060,150.2057914
BDSU004,BDSU061,152.7888538
BDSU004,BDSU062,156.5697287
BDSU004,BDSU063,174.9911796
BDSU004,BDSU064,154.1510075
BDSU004,BDSU065,182.7163358
BDSU004,BDSU066,171.7116902
BDSU004,BDSU067,162.5449098
BDSU004,BDSU068,174.9911796
BDSU004,BDSU069,173.7607428
BDSU004,BDSU070,180.9620869
BDSU004,BDSU071,152.2118645
BDSU004,BDSU072,191.6387617
BDSU004,BDSU073,157.020331
BDSU004,BDSU074,274.4863007
BDSU004,BDSU075,274.3431534
BDSU004,BDSU076,142.1360099
BDSU004,BDSU077,189.9120346
BDSU004,BDSU078,144.522596
BDSU004,BDSU079,155.5415925
BDSU005,BDSU001,129.7766759
BDSU005,BDSU002,134.2482427
BDSU005,BDSU003,39.83985917
BDSU005,BDSU004,48.97880862
BDSU005,BDSU005,0
BDSU005,BDSU006,120.2408866
BDSU005,BDSU007,14.63805165
BDSU005,BDSU008,12.83318661
BDSU005,BDSU009,13.06559973
BDSU005,BDSU010,132.2456734
BDSU005,BDSU011,8.384668321
BDSU005,BDSU012,117.9905149
BDSU005,BDSU013,114.9206597
BDSU005,BDSU014,43.83738359
BDSU005,BDSU015,44.51273683
BDSU005,BDSU016,42.49318433
BDSU005,BDSU017,64.02320194
BDSU005,BDSU018,51.73803921
BDSU005,BDSU019,
BDSU005,BDSU020,153.1327192
BDSU005,BDSU021,131.5780814
BDSU005,BDSU022,130.0960094
BDSU005,BDSU023,125.4402773
BDSU005,BDSU024,136.3763846
BDSU005,BDSU025,124.5694819
BDSU005,BDSU026,144.4799251
BDSU005,BDSU027,144.4841976
BDSU005,BDSU028,147.4400131
BDSU005,BDSU029,145.7822654
BDSU005,BDSU030,167.1510118
BDSU005,BDSU031,133.0005094
BDSU005,BDSU032,222.5461399
BDSU005,BDSU033,189.7470888
BDSU005,BDSU034,127.0523542
BDSU005,BDSU035,240.76463
BDSU005,BDSU036,50.81297241
BDSU005,BDSU037,68.42104643
BDSU005,BDSU038,139.3332271
BDSU005,BDSU039,53.20395908
BDSU005,BDSU040,142.0871889
BDSU005,BDSU041,143.9950178
BDSU005,BDSU042,142.7118346
BDSU005,BDSU043,124.8857349
BDSU005,BDSU044,136.5305925
BDSU005,BDSU045,150.2980262
BDSU005,BDSU046,65.01754167
BDSU005,BDSU047,69.66643866
BDSU005,BDSU048,134.8868368
BDSU005,BDSU049,149.1265271
BDSU005,BDSU050,78.96545743
BDSU005,BDSU051,45.93878581
BDSU005,BDSU052,121.491523
BDSU005,BDSU053,119.1061774
BDSU005,BDSU054,189.0295734
BDSU005,BDSU055,157.3542661
BDSU005,BDSU056,163.4950437
BDSU005,BDSU057,167.8061129
BDSU005,BDSU058,157.4496876
BDSU005,BDSU059,109.7027526
BDSU005,BDSU060,183.242024
BDSU005,BDSU061,190.3486434
BDSU005,BDSU062,190.7266259
BDSU005,BDSU063,209.3101318
BDSU005,BDSU064,187.5676092
BDSU005,BDSU065,217.4338506
BDSU005,BDSU066,204.3195169
BDSU005,BDSU067,198.4350089
BDSU005,BDSU068,209.3101318
BDSU005,BDSU069,204.8455265
BDSU005,BDSU070,211.7518215
BDSU005,BDSU071,185.8084325
BDSU005,BDSU072,217.0806598
BDSU005,BDSU073,172.5196063
BDSU005,BDSU074,281.3739231
BDSU005,BDSU075,280.0210649
BDSU005,BDSU076,178.239287
BDSU005,BDSU077,225.6291999
BDSU005,BDSU078,175.7306272
BDSU005,BDSU079,191.901349
BDSU006,BDSU001,25.25608528
BDSU006,BDSU002,43.6529866
BDSU006,BDSU003,107.3319257
BDSU006,BDSU004,110.45364
BDSU006,BDSU005,120.2408866
BDSU006,BDSU006,0
BDSU006,BDSU007,133.7761518
BDSU006,BDSU008,123.3978767
BDSU006,BDSU009,124.8749588
BDSU006,BDSU010,12.05970937
BDSU006,BDSU011,128.4846018
BDSU006,BDSU012,5.572619896
BDSU006,BDSU013,40.64308741
BDSU006,BDSU014,108.9817919
BDSU006,BDSU015,114.1653404
BDSU006,BDSU016,108.4136668
BDSU006,BDSU017,168.9879426
BDSU006,BDSU018,111.7713408
BDSU006,BDSU019,
BDSU006,BDSU020,238.7254904
BDSU006,BDSU021,230.6809187
BDSU006,BDSU022,249.1028843
BDSU006,BDSU023,240.2824696
BDSU006,BDSU024,44.81876367
BDSU006,BDSU025,236.8964851
BDSU006,BDSU026,219.331152
BDSU006,BDSU027,228.1342411
BDSU006,BDSU028,241.3997025
BDSU006,BDSU029,223.8383212
BDSU006,BDSU030,262.0805741
BDSU006,BDSU031,218.8628419
BDSU006,BDSU032,318.2470877
BDSU006,BDSU033,283.6323629
BDSU006,BDSU034,219.7315915
BDSU006,BDSU035,336.7324865
BDSU006,BDSU036,115.3405779
BDSU006,BDSU037,166.557417
BDSU006,BDSU038,39.02655613
BDSU006,BDSU039,80.01765432
BDSU006,BDSU040,41.7834012
BDSU006,BDSU041,68.37278487
BDSU006,BDSU042,58.76792533
BDSU006,BDSU043,18.10117969
BDSU006,BDSU044,54.85165663
BDSU006,BDSU045,30.53714749
BDSU006,BDSU046,183.7657647
BDSU006,BDSU047,188.3760853
BDSU006,BDSU048,55.67658578
BDSU006,BDSU049,31.30087529
BDSU006,BDSU050,166.5629893
BDSU006,BDSU051,135.7165752
BDSU006,BDSU052,232.6184151
BDSU006,BDSU053,213.8781114
BDSU006,BDSU054,244.4992326
BDSU006,BDSU055,222.9930618
BDSU006,BDSU056,236.3375273
BDSU006,BDSU057,225.8759714
BDSU006,BDSU058,227.0506167
BDSU006,BDSU059,217.7741928
BDSU006,BDSU060,248.8150843
BDSU006,BDSU061,244.8000547
BDSU006,BDSU062,253.3929123
BDSU006,BDSU063,270.5077842
BDSU006,BDSU064,252.0621247
BDSU006,BDSU065,277.2411054
BDSU006,BDSU066,269.6289055
BDSU006,BDSU067,256.534154
BDSU006,BDSU068,270.5077842
BDSU006,BDSU069,273.3331453
BDSU006,BDSU070,280.5354234
BDSU006,BDSU071,250.0206247
BDSU006,BDSU072,295.7287798
BDSU006,BDSU073,266.602629
BDSU006,BDSU074,384.876439
BDSU006,BDSU075,384.7881386
BDSU006,BDSU076,237.2804063
BDSU006,BDSU077,282.5191858
BDSU006,BDSU078,245.4584766
BDSU006,BDSU079,249.2939562
BDSU007,BDSU001,142.0932745
BDSU007,BDSU002,145.3926906
BDSU007,BDSU003,52.14222317
BDSU007,BDSU004,60.50844219
BDSU007,BDSU005,14.63805165
BDSU007,BDSU006,133.7761518
BDSU007,BDSU007,0
BDSU007,BDSU008,21.43620305
BDSU007,BDSU009,20.58014737
BDSU007,BDSU010,145.8184017
BDSU007,BDSU011,6.723160168
BDSU007,BDSU012,131.7424347
BDSU007,BDSU013,129.5280491
BDSU007,BDSU014,55.71328718
BDSU007,BDSU015,55.42063277
BDSU007,BDSU016,54.50723973
BDSU007,BDSU017,61.40502631
BDSU007,BDSU018,63.03129339
BDSU007,BDSU019,
BDSU007,BDSU020,151.9078793
BDSU007,BDSU021,127.5687025
BDSU007,BDSU022,118.4140155
BDSU007,BDSU023,116.1043793
BDSU007,BDSU024,150.9664646
BDSU007,BDSU025,116.3261914
BDSU007,BDSU026,145.7533892
BDSU007,BDSU027,143.930118
BDSU007,BDSU028,144.3870681
BDSU007,BDSU029,146.3717296
BDSU007,BDSU030,163.4294814
BDSU007,BDSU031,132.3165145
BDSU007,BDSU032,217.8509067
BDSU007,BDSU033,185.8936209
BDSU007,BDSU034,124.9129797
BDSU007,BDSU035,235.8284196
BDSU007,BDSU036,61.49431895
BDSU007,BDSU037,67.98757509
BDSU007,BDSU038,151.0220963
BDSU007,BDSU039,67.72948783
BDSU007,BDSU040,153.6891237
BDSU007,BDSU041,153.4646366
BDSU007,BDSU042,152.9647855
BDSU007,BDSU043,137.5353705
BDSU007,BDSU044,146.8585024
BDSU007,BDSU045,164.0158743
BDSU007,BDSU046,54.4132173
BDSU007,BDSU047,58.97332526
BDSU007,BDSU048,145.0856698
BDSU007,BDSU049,163.0732158
BDSU007,BDSU050,80.78224639
BDSU007,BDSU051,51.48509109
BDSU007,BDSU052,113.7835755
BDSU007,BDSU053,116.6933803
BDSU007,BDSU054,192.4823035
BDSU007,BDSU055,159.9380599
BDSU007,BDSU056,164.5992599
BDSU007,BDSU057,171.3642858
BDSU007,BDSU058,159.3216813
BDSU007,BDSU059,103.4405879
BDSU007,BDSU060,185.1748693
BDSU007,BDSU061,193.9297208
BDSU007,BDSU062,192.9885727
BDSU007,BDSU063,211.455305
BDSU007,BDSU064,189.5899698
BDSU007,BDSU065,219.6633075
BDSU007,BDSU066,205.8741153
BDSU007,BDSU067,201.2800501
BDSU007,BDSU068,211.455305
BDSU007,BDSU069,205.8459424
BDSU007,BDSU070,212.5823923
BDSU007,BDSU071,187.9165366
BDSU007,BDSU072,216.032444
BDSU007,BDSU073,168.9049026
BDSU007,BDSU074,274.352888
BDSU007,BDSU075,272.6875569
BDSU007,BDSU076,181.3749704
BDSU007,BDSU077,228.184819
BDSU007,BDSU078,177.1046905
BDSU007,BDSU079,194.9916818
BDSU008,BDSU001,135.1165844
BDSU008,BDSU002,141.1075564
BDSU008,BDSU003,31.0264902
BDSU008,BDSU004,39.09786925
BDSU008,BDSU005,12.83318661
BDSU008,BDSU006,123.3978767
BDSU008,BDSU007,21.43620305
BDSU008,BDSU008,0
BDSU008,BDSU009,1.50746013
BDSU008,BDSU010,135.2333562
BDSU008,BDSU011,15.27844161
BDSU008,BDSU012,120.6316394
BDSU008,BDSU013,113.7472835
BDSU008,BDSU014,34.39296594
BDSU008,BDSU015,33.98711482
BDSU008,BDSU016,33.24034033
BDSU008,BDSU017,53.19177436
BDSU008,BDSU018,41.59765805
BDSU008,BDSU019,
BDSU008,BDSU020,141.1346797
BDSU008,BDSU021,120.805242
BDSU008,BDSU022,125.7051763
BDSU008,BDSU023,118.47518
BDSU008,BDSU024,135.3014599
BDSU008,BDSU025,116.640942
BDSU008,BDSU026,131.8724238
BDSU008,BDSU027,132.2978367
BDSU008,BDSU028,136.1540758
BDSU008,BDSU029,133.3061953
BDSU008,BDSU030,156.115309
BDSU008,BDSU031,120.8768321
BDSU008,BDSU032,211.8836526
BDSU008,BDSU033,178.7231017
BDSU008,BDSU034,115.4531949
BDSU008,BDSU035,230.2027918
BDSU008,BDSU036,40.08848669
BDSU008,BDSU037,56.55336531
BDSU008,BDSU038,145.4952843
BDSU008,BDSU039,50.19205759
BDSU008,BDSU040,148.3463986
BDSU008,BDSU041,152.479247
BDSU008,BDSU042,150.4786013
BDSU008,BDSU043,129.7311893
BDSU008,BDSU044,144.2546544
BDSU008,BDSU045,152.8313658
BDSU008,BDSU046,60.38290694
BDSU008,BDSU047,64.98382935
BDSU008,BDSU048,142.7469276
BDSU008,BDSU049,151.0379269
BDSU008,BDSU050,66.38821936
BDSU008,BDSU051,33.11299377
BDSU008,BDSU052,113.1535326
BDSU008,BDSU053,107.6500524
BDSU008,BDSU054,176.1980225
BDSU008,BDSU055,144.5706167
BDSU008,BDSU056,150.8996607
BDSU008,BDSU057,154.9740344
BDSU008,BDSU058,144.7413528
BDSU008,BDSU059,100.4059133
BDSU008,BDSU060,170.5132924
BDSU008,BDSU061,177.5157073
BDSU008,BDSU062,177.9604325
BDSU008,BDSU063,196.5500898
BDSU008,BDSU064,174.8270069
BDSU008,BDSU065,204.6639169
BDSU008,BDSU066,191.6304159
BDSU008,BDSU067,185.6237323
BDSU008,BDSU068,196.5500898
BDSU008,BDSU069,192.2415108
BDSU008,BDSU070,199.1741557
BDSU008,BDSU071,173.0591927
BDSU008,BDSU072,204.9447664
BDSU008,BDSU073,161.4206002
BDSU008,BDSU074,272.0282874
BDSU008,BDSU075,270.8962306
BDSU008,BDSU076,165.417231
BDSU008,BDSU077,212.831693
BDSU008,BDSU078,163.0818682
BDSU008,BDSU079,179.0794339
BDSU009,BDSU001,136.5199688
BDSU009,BDSU002,142.4281036
BDSU009,BDSU003,32.18218247
BDSU009,BDSU004,40.07884219
BDSU009,BDSU005,13.06559973
BDSU009,BDSU006,124.8749588
BDSU009,BDSU007,20.58014737
BDSU009,BDSU008,1.50746013
BDSU009,BDSU009,0
BDSU009,BDSU010,136.7155406
BDSU009,BDSU011,14.63805271
BDSU009,BDSU012,122.119445
BDSU009,BDSU013,115.2417041
BDSU009,BDSU014,35.45433084
BDSU009,BDSU015,34.87614187
BDSU009,BDSU016,34.33209087
BDSU009,BDSU017,52.20455532
BDSU009,BDSU018,42.52949358
BDSU009,BDSU019,
BDSU009,BDSU020,140.4509175
BDSU009,BDSU021,119.8399287
BDSU009,BDSU022,124.2295482
BDSU009,BDSU023,117.1078168
BDSU009,BDSU024,136.7956206
BDSU009,BDSU025,115.3400562
BDSU009,BDSU026,131.4439597
BDSU009,BDSU027,131.6755768
BDSU009,BDSU028,135.2898074
BDSU009,BDSU029,132.8046969
BDSU009,BDSU030,155.2037158
BDSU009,BDSU031,120.2314506
BDSU009,BDSU032,210.9112827
BDSU009,BDSU033,177.8118001
BDSU009,BDSU034,114.6565637
BDSU009,BDSU035,229.2152981
BDSU009,BDSU036,40.91818488
BDSU009,BDSU037,55.80842829
BDSU009,BDSU038,146.8586717
BDSU009,BDSU039,51.66700829
BDSU009,BDSU040,149.7047798
BDSU009,BDSU041,153.6753381
BDSU009,BDSU042,151.735654
BDSU009,BDSU043,131.1550818
BDSU009,BDSU044,145.5139192
BDSU009,BDSU045,154.3235754
BDSU009,BDSU046,58.89908082
BDSU009,BDSU047,63.50299972
BDSU009,BDSU048,143.995079
BDSU009,BDSU049,152.5387043
BDSU009,BDSU050,65.93615621
BDSU009,BDSU051,33.06138607
BDSU009,BDSU052,111.8856111
BDSU009,BDSU053,106.8178443
BDSU009,BDSU054,176.0336229
BDSU009,BDSU055,144.2954462
BDSU009,BDSU056,150.4642676
BDSU009,BDSU057,154.8148013
BDSU009,BDSU058,144.3865859
BDSU009,BDSU059,99.228878
BDSU009,BDSU060,170.1768799
BDSU009,BDSU061,177.36636
BDSU009,BDSU062,177.6629025
BDSU009,BDSU063,196.2454679
BDSU009,BDSU064,174.5020156
BDSU009,BDSU065,204.3706896
BDSU009,BDSU066,191.2602545
BDSU009,BDSU067,185.393387
BDSU009,BDSU068,196.2454679
BDSU009,BDSU069,191.8123602
BDSU009,BDSU070,198.7293068
BDSU009,BDSU071,172.7429853
BDSU009,BDSU072,204.3097134
BDSU009,BDSU073,160.5218387
BDSU009,BDSU074,270.8797257
BDSU009,BDSU075,269.7233213
BDSU009,BDSU076,165.2132785
BDSU009,BDSU077,212.5762127
BDSU009,BDSU078,162.6815342
BDSU009,BDSU079,178.8747371
BDSU010,BDSU001,25.83352562
BDSU010,BDSU002,44.6025389
BDSU010,BDSU003,118.384761
BDSU010,BDSU004,121.0696273
BDSU010,BDSU005,132.2456734
BDSU010,BDSU006,12.05970937
BDSU010,BDSU007,145.8184017
BDSU010,BDSU008,135.2333562
BDSU010,BDSU009,136.7155406
BDSU010,BDSU010,0
BDSU010,BDSU011,140.5018142
BDSU010,BDSU012,14.86322479
BDSU010,BDSU013,44.64767659
BDSU010,BDSU014,119.8464509
BDSU010,BDSU015,124.9926562
BDSU010,BDSU016,119.3421698
BDSU010,BDSU017,180.1902725
BDSU010,BDSU018,122.2493424
BDSU010,BDSU019,
BDSU010,BDSU020,248.2124047
BDSU010,BDSU021,241.1458074
BDSU010,BDSU022,260.9251802
BDSU010,BDSU023,251.7774955
BDSU010,BDSU024,42.84236668
BDSU010,BDSU025,248.2204961
BDSU010,BDSU026,228.2278756
BDSU010,BDSU027,237.5679859
BDSU010,BDSU028,251.4554711
BDSU010,BDSU029,232.9172892
BDSU010,BDSU030,272.0952708
BDSU010,BDSU031,228.5279651
BDSU010,BDSU032,328.0996238
BDSU010,BDSU033,293.4720561
BDSU010,BDSU034,229.8427806
